ID,Title,Description,Eligibility,Amount,Deadline,Country,Field,Level,Application URL,Source,Source Website,Scraped Date,Year of Study,Course Specialization,Field of Study,Special Categories,Minimum GPA,Maximum Family Income,Citizenship Required,Gender Specific,Age Limit,Renewable,Essay Required,Interview Required,Popularity Score,Success Rate,Tags,Last Updated
SCH001,Germany National Merit Scholarship,A scholarship opportunity for students in the Law field.,Postgraduate students with minimum GPA of 3.82,$13527,2025-10-19,Germany,Business,Undergraduate,https://example.com/scholarships/sch001,Scholarship Central,https://example.com,2025-07-14,4th Year,Clinical Psychology,Psychology,Minorities,2.85,57397,No,Female,30,No,No,Yes,99,40,Local,2025-07-14
SCH002,Germany National Support Scholarship,A scholarship opportunity for students in the Business field.,PhD students with minimum GPA of 2.84,$1328,2025-10-08,USA,Arts,Postgraduate,https://example.com/scholarships/sch002,Scholarship Central,https://example.com,2025-07-14,2th Year,Robotics,Mechanical Engineering,First Generation,2.63,22364,No,Any,20,Yes,No,No,53,42,International,2025-07-14
SCH003,Canada National Excellence Scholarship,A scholarship opportunity for students in the Law field.,Postgraduate students with minimum GPA of 3.88,$3180,2025-10-18,UK,Law,Postgraduate,https://example.com/scholarships/sch003,Scholarship Central,https://example.com,2025-07-14,4th Year,Biotech,Psychology,None,3.43,43910,No,Female,25,No,No,Yes,59,38,Local,2025-07-14
SCH004,USA Regional Excellence Scholarship,A scholarship opportunity for students in the Law field.,Postgraduate students with minimum GPA of 2.90,$11790,2025-11-14,UK,Arts,Undergraduate,https://example.com/scholarships/sch004,Scholarship Central,https://example.com,2025-07-14,4th Year,AI,Finance,None,2.33,57350,Yes,Female,22,Yes,Yes,Yes,93,55,Merit-based,2025-07-14
SCH005,Canada Regional Excellence Scholarship,A scholarship opportunity for students in the STEM field.,Undergraduate students with minimum GPA of 3.05,$2940,2025-09-22,Germany,Business,PhD,https://example.com/scholarships/sch005,Scholarship Central,https://example.com,2025-07-14,3th Year,AI,Finance,Minorities,2.54,37643,No,Female,18,No,Yes,No,72,48,International,2025-07-14
SCH006,UK Global Excellence Scholarship,A scholarship opportunity for students in the Business field.,PhD students with minimum GPA of 2.68,$13569,2026-01-07,Canada,Law,Postgraduate,https://example.com/scholarships/sch006,Scholarship Central,https://example.com,2025-07-14,3th Year,Robotics,Computer Science,First Generation,2.71,74073,No,Male,20,No,Yes,No,72,52,Local,2025-07-14
SCH007,Canada National Excellence Scholarship,A scholarship opportunity for students in the Law field.,Postgraduate students with minimum GPA of 3.55,$13269,2025-12-25,India,Medicine,Postgraduate,https://example.com/scholarships/sch007,Scholarship Central,https://example.com,2025-07-14,3th Year,Biotech,Psychology,None,3.99,58144,No,Male,20,Yes,Yes,No,83,29,Local,2025-07-14
SCH008,India National Excellence Scholarship,A scholarship opportunity for students in the Medicine field.,Postgraduate students with minimum GPA of 2.53,$12554,2025-11-22,UK,Law,Undergraduate,https://example.com/scholarships/sch008,Scholarship Central,https://example.com,2025-07-14,1th Year,AI,Psychology,First Generation,2.06,84342,No,Male,30,No,No,Yes,70,57,Need-based,2025-07-14
SCH009,India Regional Merit Scholarship,A scholarship opportunity for students in the Business field.,PhD students with minimum GPA of 3.07,$4492,2025-11-23,Canada,STEM,PhD,https://example.com/scholarships/sch009,Scholarship Central,https://example.com,2025-07-14,1th Year,Clinical Psychology,Computer Science,Women in STEM,3.32,45386,No,Male,26,Yes,Yes,Yes,54,30,International,2025-07-14
SCH010,India National Excellence Scholarship,A scholarship opportunity for students in the Law field.,PhD students with minimum GPA of 3.79,$4398,2025-08-21,USA,Law,PhD,https://example.com/scholarships/sch010,Scholarship Central,https://example.com,2025-07-14,3th Year,Clinical Psychology,Computer Science,Disabled,3.67,77047,No,Male,24,Yes,No,Yes,79,49,International,2025-07-14
SCH011,Canada Global Support Scholarship,A scholarship opportunity for students in the Law field.,Undergraduate students with minimum GPA of 3.63,$8445,2025-10-14,USA,Arts,PhD,https://example.com/scholarships/sch011,Scholarship Central,https://example.com,2025-07-14,3th Year,Clinical Psychology,Biology,None,2.41,39800,No,Male,21,No,No,Yes,97,46,Local,2025-07-14
